"timestamp,open,high,low,close,volume"
"2026-01-01 09:15:00,25000,25020,24980,25010,12000"
"2026-01-01 09:20:00,25010,25040,25000,25035,14000"
"2026-01-01 09:25:00,25035,25060,25020,25055,16000"
"2026-01-01 09:30:00,25055,25080,25040,25070,18000"
"2026-01-01 09:35:00,25070,25100,25060,25095,20000"
"2026-01-01 09:40:00,25095,25120,25080,25110,22000"
"2026-01-01 09:45:00,25110,25130,25090,25100,19000"
"2026-01-01 09:50:00,25100,25110,25060,25070,17000"
"2026-01-01 09:55:00,25070,25090,25040,25050,15000"
"2026-01-01 10:00:00,25050,25080,25030,25075,18000"
"2026-01-01 10:05:00,25075,25120,25070,25115,21000"
"2026-01-01 10:10:00,25115,25150,25100,25140,24000"
"2026-01-01 10:15:00,25140,25180,25130,25170,26000"
"2026-01-01 10:20:00,25170,25190,25140,25150,23000"
"2026-01-01 10:25:00,25150,25170,25110,25120,20000"
"2026-01-01 10:30:00,25120,25160,25100,25155,22000"
"2026-01-01 10:35:00,25155,25200,25140,25190,28000"
"2026-01-01 10:40:00,25190,25220,25170,25210,30000"
"2026-01-01 10:45:00,25210,25230,25180,25195,27000"
"2026-01-01 10:50:00,25195,25210,25150,25160,24000"
